  x  |  y(x)  |  y'(x) |F1' - y'|F2' - y'| F1 - y | F2 - y | G - y  | H - y |
0.69 | 0.8306 | 0.6019 | 0.0011 | 0.0016 | 0.0007 | 0.0007 | 0.0007 | 0.0007|
0.7  | 0.8366 | 0.5976 | 0.0019 | 0.0033 | 0.0007 | 0.0007 | 0.0007 | 0.0007|
0.71 | 0.8426 | 0.5933 | 0.0021 | 0.0032 | 0.0007 | 0.0007 | 0.0007 | 0.0007|
0.72 | 0.8485 | 0.5892 | 0.0023 | 0.0031 | 0.0007 | 0.0006 | 0.0007 | 0.0007|
0.73 | 0.8544 | 0.5852 | 0.0024 | 0.003  | 0.0006 | 0.0006 | 0.0006 | 0.0006|
0.74 | 0.8602 | 0.5812 | 0.0025 | 0.0027 | 0.0006 | 0.0006 | 0.0006 | 0.0006|
0.75 | 0.866  | 0.5773 | 0.0025 | 0.0025 | 0.0006 | 0.0006 | 0.0006 | 0.0006|
0.76 | 0.8717 | 0.5735 | 0.0024 | 0.0022 | 0.0006 | 0.0005 | 0.0006 | 0.0005|
0.77 | 0.8774 | 0.5698 | 0.0024 | 0.0018 | 0.0005 | 0.0005 | 0.0005 | 0.0005|
0.78 | 0.8831 | 0.5661 | 0.0022 | 0.0014 | 0.0005 | 0.0005 | 0.0005 | 0.0005|
0.79 | 0.8888 | 0.5625 | 0.002  | 0.0009 | 0.0005 | 0.0005 | 0.0005 | 0.0005|
