  x  |  y(x)  |   y'(x)   | F1'(x) - y'(x) | F2'(x) - y'(x) |  F1(x) - y(x)  |  F2(x) - y(x)  |  G(x) - y(x)   |  H(x) - y(x)   |
0.7 | 0.836 | 0.597 | 0.001 | 0.003 | -0.001 | -0.001 | -0.001 | -0.001|
0.71 | 0.842 | 0.593 | 0.002 | 0.003 | -0.001 | -0.001 | -0.001 | -0.001|
0.72 | 0.848 | 0.589 | 0.002 | 0.003 | -0.001 | -0.001 | -0.001 | -0.001|
0.73 | 0.854 | 0.585 | 0.002 | 0.003 | -0.001 | -0.001 | -0.001 | -0.001|
0.74 | 0.86 | 0.581 | 0.002 | 0.002 | -0.001 | -0.001 | -0.001 | -0.001|
0.75 | 0.866 | 0.577 | 0.002 | 0.002 | -0.001 | -0.001 | -0.001 | -0.001|
0.76 | 0.871 | 0.573 | 0.002 | 0.002 | -0.001 | -0.001 | -0.001 | -0.001|
0.77 | 0.877 | 0.569 | 0.002 | 0.001 | -0.001 | -0.001 | -0.001 | -0.001|
0.78 | 0.883 | 0.566 | 0.002 | 0.001 | -0.001 | -0.001 | -0.001 | -0.001|
0.79 | 0.888 | 0.562 | 0.002 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.79 | 0.888 | 0.562 | 0.002 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.79 | 0.888 | 0.562 | 0.002 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.79 | 0.888 | 0.562 | 0.002 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.79 | 0.888 | 0.562 | 0.002 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.79 | 0.888 | 0.562 | 0.002 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.79 | 0.888 | 0.562 | 0.002 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.79 | 0.888 | 0.562 | 0.002 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.79 | 0.888 | 0.562 | 0.002 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.79 | 0.888 | 0.562 | 0.002 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.79 | 0.888 | 0.562 | 0.002 | 0 | -0.001 | -0.001 | -0.001 | -0.001|

